id,label,name,boost
hotel:83ab1624,Hotel,Hotel Goldener Hirsch,1.0
hotel:cfea8674,Hotel,Hotel Bristol,1.0
activity:1a41de29,Activity,Mirabel Sarayı ve Bahçesi,1.0
activity:3d6b9b71,Activity,Mozart’ın Evi,1.0
activity:0dbe7051,Activity,Residenzplatz & DomQuartier,1.0
activity:57058155,Activity,Noel Pazarları,1.0
activity:8eadecd7,Activity,Hallstatt Gezisi,1.0
activity:ca819b26,Activity,Salzberg Dağı & Tuz Madeni Ziyareti,1.0
activity:f134b920,Activity,Atlı Kızak Turu (St Wolfgang),1.0
activity:9a134ddb,Activity,Salzburg Kalesi,1.0
activity:e8bf0cd8,Activity,Adolf Hitler’in Kartal Yuvası,1.0
activity:f02a40cd,Activity,Salzbergwerk Berchtesgaden,1.0
activity:2e211399,Activity,Grassl Likör Fabrikası,1.0
restaurant:c2a8a591,Restaurant,Cafe Sacher Salzburg,1.0
restaurant:3d8c307b,Restaurant,Restaurant Blaue Gans Salzburg Gasthaus,1.0
trip:6331c61e,Trip,BELGRAD TURU 21 – 23 EYLÜL,1.0
city:206f16df,City,Belgrad,1.0
city:fe4a0852,City,Karlofca,1.0
city:b72f7445,City,Novi Sad,1.0
country:624541ec,Country,Sırbistan,1.0
hotel:e80935cb,Hotel,Metropol Palace Hotel,1.0
hotel:1cfd74da,Hotel,Square Nine Hotel,1.0
activity:16cfc673,Activity,Belgrad Şehir Gezisi,1.0
activity:12c98a28,Activity,Aziz Sava Kilisesi,1.0
activity:94d3c222,Activity,Kalemegdan,1.0
activity:95093574,Activity,Sokullu Mehmet Paşa Çeşmesi,1.0
activity:a4b8e6cd,Activity,Damat Ali Paşa Türbesi,1.0
activity:6c6e8778,Activity,Fikirbayır,1.0
activity:85c8e568,Activity,Stambol Kapısı,1.0
activity:93628a77,Activity,Tuna & Sava Nehirlerinin Birleşim Noktası,1.0
activity:4106a0f4,Activity,Museum of Yugoslav History,1.0
activity:670413e4,Activity,Royal Compound,1.0
activity:3c6005ac,Activity,Nikola Tesla Müzesi,1.0
activity:48b452a6,Activity,Karlofca Gezisi,1.0
activity:428a67c6,Activity,Novi Sad Gezisi,1.0
activity:65a995cc,Activity,Tuna Nehri Tekne Gezisi,1.0
restaurant:ced2626f,Restaurant,Kalemegdan Restaurant,1.0
