id:ID,name,season,date_start,date_end,:LABEL
380,Uçhisar,,,,Activity
381,Kaymaklı Yeraltı Şehri,,,,Activity
382,Kızıl Vadi,,,,Activity
383,Efes Antik Kenti,,,,Activity
384,Hadrian Tapınağı,,,,Activity
385,Odeon,,,,Activity
386,Traian Çeşmesi,,,,Activity
387,Şirince Köyü,,,,Activity
388,Il Cortile Ristorante Pizzeria,,,,Restaurant
389,Pandeli Restaurant,,,,Restaurant
390,Belisirma Nehir Kenarı Restoran,,,,Restaurant
391,Geleneksel Türk Restoranı (Efes),,,,Restaurant
392,EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,Yaz,2025-08-04,2025-08-08,Trip
393,Edinburgh,,,,City
394,Pitlochry,,,,City
395,Fort William,,,,City
396,Inverness,,,,City
397,İskoçya,,,,Country
398,Blair Castle,,,,Activity
399,Ballindalloch Castle & Gardens,,,,Activity
400,Camera Obscura & World of Illusions,,,,Activity
401,Loch Ness,,,,Activity
402,Inverness Kalesi,,,,Activity
403,St. Andrews Katedrali,,,,Activity
404,Inverness Müzesi ve Sanat Galerisi,,,,Activity
405,Strathisla Distillery,,,,Activity
406,Nevis Bank Inn and Browns Restaurant,,,,Restaurant
407,Rocpool Restaurant,,,,Restaurant
408,Fonab Castle Hotel,,,,Hotel
409,The Craigellachie Hotel,,,,Hotel
410,Nevis Bank Inn,,,,Hotel
411,Seasgair Hotel,,,,Hotel
412,TAYLAND TURU 5 – 18 ŞUBAT,Kış,2025-02-05,2025-02-18,Trip
413,Chiang Mai,,,,City
414,Chiang Rai,,,,City
415,Tapınaklar ve Şehir Gezisi,,,,Activity
416,Bo Sang Köyü,,,,Activity
417,Wat Chedi Luangis,,,,Activity
418,Wat Suan Dok Tapınağı,,,,Activity
419,Wat Phra That Doi Suthep,,,,Activity
420,Wat Rong Khun,,,,Activity
421,Chiang Rai Gezisi,,,,Activity
422,Golden Triangle Gezisi,,,,Activity
423,Mekong Nehri Tekne Gezisi,,,,Activity
424,Bangkok Şehir Gezisi,,,,Activity
425,Büyük Saray,,,,Activity
426,Wat Phra Kaew,,,,Activity
427,Wat Pho Tapınağı,,,,Activity
428,Wat Ratchabophit,,,,Activity
429,Bangkok Kanalları Gezisi,,,,Activity
430,Chatuchak Weekend Market,,,,Activity
431,Beach Restaurant (The Surin),,,,Restaurant
432,Potong Restaurant,,,,Restaurant
433,Clara Restaurant,,,,Restaurant
434,Kalido,,,,Restaurant
435,Carpe Diem Beach Club,,,,Restaurant
436,Terrace Rim Naam,,,,Restaurant
437,The Surin,,,,Hotel
438,JAPONYA TURU 6 – 13 NİSAN 2024 (SAFFET EMRE),İlkbahar,2024-04-06,2024-04-13,Trip
439,Hakone,,,,City
440,Nara,,,,City
441,Shinjuku Gyoen Park,,,,Activity
442,Senso-ji Tapınağı,,,,Activity
443,Nakamise Alışveriş Caddesi,,,,Activity
444,Meiji Shrine,,,,Activity
445,Takeshita Street,,,,Activity
446,Omotesando,,,,Activity
447,TeamLab Planets,,,,Activity
448,Ginza,,,,Activity
449,Hakone Açık Hava Müzesi,,,,Activity
450,Picasso Pavilion,,,,Activity
451,Hakone Teleferiği,,,,Activity
452,Owakudani Vadisi,,,,Activity
453,Ashinoko Tekne Gezisi,,,,Activity
454,Kiyomizu Tapınağı,,,,Activity
455,Kinkaku-ji,,,,Activity
456,Geisha & Maiko Gösterisi,,,,Activity
457,Nara Park,,,,Activity
458,Kasuga Taisha,,,,Activity
459,Tenryu-ji Tapınağı,,,,Activity
460,Monkey Park Iwatayama,,,,Activity
461,Teshima Yokoo Evi,,,,Activity
462,Mitsui Garden Hotel,,,,Hotel
463,Benesse House,,,,Hotel
464,ARLES TURU 03 – 06 EKİM,Sonbahar,2025-10-03,2025-10-06,Trip
465,Arles,,,,City
466,Avignon,,,,City
467,Les Baux-de-Provence,,,,City
468,L'Isle-sur-la-Sorgue,,,,City
469,LUMA Müzesi,,,,Activity
470,Van Gogh Müzesi,,,,Activity
471,Art Tour,,,,Activity
472,Avignon Gezisi,,,,Activity
473,Chateau Estoublon,,,,Activity
474,Les Baux-de-Provence Gezisi,,,,Activity
